brand,num_products,avg_price,avg_rating,avg_actives
BELIF,2,31.0,4.4,7.0
BOSCIA,7,26.428571428571427,4.2,3.5714285714285716
CAUDALIE,7,27.0,4.228571428571429,2.2857142857142856
CLARINS,2,28.0,4.5,4.0
CLINIQUE,7,26.285714285714285,4.371428571428572,3.857142857142857
DR. JART+,2,35.5,4.45,4.5
DRUNK ELEPHANT,2,31.0,4.3,2.5
FARMACY,3,30.666666666666668,4.466666666666666,3.3333333333333335
FIRST AID BEAUTY,4,23.25,4.2,6.5
FRESH,2,33.5,3.75,3.5
INDIE LEE,2,32.0,4.4,4.0
IT COSMETICS,2,33.0,4.6,16.0
KIEHL'S SINCE 1851,9,24.11111111111111,4.388888888888889,3.888888888888889
KORRES,3,27.333333333333332,4.6000000000000005,3.3333333333333335
LANEIGE,3,24.666666666666668,4.266666666666667,3.3333333333333335
MURAD,2,34.0,4.35,5.0
OLEHENRIKSEN,7,24.285714285714285,4.371428571428572,6.571428571428571
ORIGINS,2,21.5,4.4,4.5
PETER THOMAS ROTH,3,38.666666666666664,4.3,5.0
PHILOSOPHY,3,22.0,4.633333333333333,7.0
REN CLEAN SKINCARE,3,32.333333333333336,4.3,2.0
SATURDAY SKIN,2,27.0,4.55,5.5
SEPHORA COLLECTION,2,7.0,4.15,0.0
SHISEIDO,3,23.333333333333332,4.266666666666667,2.3333333333333335
TATCHA,2,25.0,4.550000000000001,0.0
