brand,num_products,avg_price,avg_rating,avg_actives
CLINIQUE,4,25.25,3.925,2.0
COOLA,17,35.88235294117647,4.247058823529412,2.8823529411764706
DRUNK ELEPHANT,2,35.0,3.45,5.0
FIRST AID BEAUTY,2,32.0,3.8499999999999996,8.0
ILIA,2,38.0,3.6500000000000004,4.5
KORRES,2,30.5,4.25,6.0
MDSOLARSCIENCES,4,26.75,4.225,2.25
MOROCCANOIL,5,32.4,3.5800000000000005,3.6
PETER THOMAS ROTH,2,34.0,4.0,3.0
SHISEIDO,5,32.4,4.32,1.8
SUPERGOOP!,11,29.818181818181817,4.1454545454545455,4.0
TARTE,3,32.0,3.966666666666667,4.333333333333333
