brand,num_products,avg_price,avg_rating,avg_actives
ALGENIST,2,103.5,4.35,6.5
AMOREPACIFIC,6,116.66666666666667,4.266666666666667,4.0
BELIF,4,42.0,4.625,7.25
BIOSSANCE,5,54.0,4.5,4.2
BOBBI BROWN,2,53.5,4.2,3.5
CAUDALIE,9,65.33333333333333,4.288888888888889,5.111111111111111
CLARINS,3,65.0,4.266666666666667,3.0
CLINIQUE,3,35.333333333333336,4.133333333333334,6.333333333333333
DIOR,2,105.0,4.1,0.0
DR. DENNIS GROSS SKINCARE,4,73.75,4.225,9.75
DR. JART+,5,44.0,4.26,5.2
DRUNK ELEPHANT,5,66.0,4.380000000000001,6.2
ERBORIAN,2,41.5,4.25,2.5
ESTÉE LAUDER,3,96.33333333333333,4.366666666666667,1.6666666666666667
FARMACY,4,46.25,4.375,5.0
FIRST AID BEAUTY,7,32.857142857142854,4.228571428571429,5.571428571428571
FRESH,3,74.66666666666667,4.2,5.0
GLAMGLOW,4,54.0,4.15,6.75
GLOW RECIPE,2,42.0,4.1,3.0
GUERLAIN,3,44.333333333333336,4.2,0.3333333333333333
HERBIVORE,5,54.8,4.34,4.8
IT COSMETICS,6,44.666666666666664,4.083333333333333,14.333333333333334
JOSIE MARAN,4,33.0,4.15,4.0
KATE SOMERVILLE,5,75.0,4.22,5.6
KIEHL'S SINCE 1851,8,34.25,4.3500000000000005,4.75
KORRES,2,51.0,4.4,6.0
LA MER,5,148.0,3.8599999999999994,4.8
LANCÔME,5,82.4,4.32,2.4
LANEIGE,6,34.5,4.566666666666666,6.666666666666667
MURAD,4,61.25,4.375,8.75
OLEHENRIKSEN,5,48.0,4.32,6.2
ORIGINS,10,44.8,4.26,6.3
PERRICONE MD,2,102.0,4.05,5.0
PHILOSOPHY,5,52.4,4.16,4.2
SATURDAY SKIN,2,44.0,4.6,3.5
SHISEIDO,7,68.14285714285714,4.271428571428571,3.0
SK-II,3,146.0,4.166666666666667,1.6666666666666667
SMASHBOX,3,38.666666666666664,4.033333333333333,5.333333333333333
SUNDAY RILEY,5,77.4,4.2,5.2
TARTE,2,38.0,4.35,3.0
TATCHA,8,83.625,4.3375,4.25
YOUTH TO THE PEOPLE,3,50.0,4.6000000000000005,7.666666666666667
