brand,num_products,avg_price,avg_rating,avg_actives
BOSCIA,5,25.4,4.12,3.4
CAUDALIE,6,26.833333333333332,4.3,2.6666666666666665
CLARINS,3,31.333333333333332,4.566666666666666,3.3333333333333335
CLINIQUE,10,24.1,4.37,3.7
DR. JART+,2,35.5,4.45,4.5
DRUNK ELEPHANT,3,24.666666666666668,4.533333333333333,2.0
FARMACY,3,30.666666666666668,4.466666666666666,3.3333333333333335
FIRST AID BEAUTY,4,23.25,4.2,6.5
FRESH,2,33.5,3.75,3.5
INDIE LEE,2,32.0,4.4,4.0
IT COSMETICS,2,33.0,4.6,16.0
KIEHL'S SINCE 1851,8,24.25,4.3625,3.375
KORRES,3,27.333333333333332,4.6000000000000005,3.3333333333333335
LANEIGE,4,25.25,4.3,3.0
MURAD,2,34.0,4.35,5.0
OLEHENRIKSEN,7,24.285714285714285,4.371428571428572,6.571428571428571
ORIGINS,3,24.0,4.433333333333334,3.6666666666666665
PETER THOMAS ROTH,3,38.666666666666664,4.3,5.0
PHILOSOPHY,3,22.0,4.633333333333333,7.0
REN CLEAN SKINCARE,3,32.333333333333336,4.3,2.0
SATURDAY SKIN,2,27.0,4.55,5.5
SEPHORA COLLECTION,2,7.0,4.15,0.0
SHISEIDO,5,28.4,4.5200000000000005,2.6
SUNDAY RILEY,2,36.5,4.3,5.0
