brand,num_products,avg_price,avg_rating,avg_actives
AMOREPACIFIC,2,55.0,4.2,3.0
BELIF,3,43.333333333333336,4.666666666666667,7.0
BIOSSANCE,5,54.0,4.5,4.2
CAUDALIE,6,48.333333333333336,4.233333333333333,4.5
CLINIQUE,5,36.8,3.3400000000000007,6.0
DR. DENNIS GROSS SKINCARE,3,69.0,4.166666666666667,9.333333333333334
DR. JART+,4,46.0,4.3,5.25
DRUNK ELEPHANT,4,60.0,4.375,3.5
ERBORIAN,2,41.5,4.25,2.5
FARMACY,4,46.25,4.375,5.0
FIRST AID BEAUTY,6,32.666666666666664,4.233333333333333,6.0
GLAMGLOW,3,55.666666666666664,4.166666666666667,8.333333333333334
GUERLAIN,3,44.333333333333336,4.2,0.3333333333333333
HERBIVORE,3,46.0,4.233333333333333,4.666666666666667
IT COSMETICS,6,44.666666666666664,4.083333333333333,14.333333333333334
JOSIE MARAN,6,38.0,4.25,3.0
KATE SOMERVILLE,2,65.0,4.35,7.5
KIEHL'S SINCE 1851,7,35.0,4.385714285714286,5.142857142857143
KORRES,2,51.0,4.4,6.0
LANCÔME,2,51.5,4.4,1.5
LANEIGE,5,34.4,4.5600000000000005,6.2
MURAD,2,61.5,4.3,7.5
OLEHENRIKSEN,6,46.666666666666664,4.333333333333333,6.833333333333333
ORIGINS,9,44.77777777777778,4.2555555555555555,6.888888888888889
PHILOSOPHY,5,52.4,4.16,4.2
SATURDAY SKIN,2,44.0,4.6,3.5
SHISEIDO,5,54.0,4.42,3.6
SMASHBOX,3,38.666666666666664,4.033333333333333,5.333333333333333
SUNDAY RILEY,4,70.5,4.225,5.5
TARTE,2,38.0,4.35,3.0
TATCHA,2,48.0,4.25,4.0
YOUTH TO THE PEOPLE,2,51.0,4.8,7.0
