brand,num_products,avg_price,avg_rating,avg_actives
ALGENIST,7,88.71428571428571,4.271428571428571,5.714285714285714
AMOREPACIFIC,2,130.0,4.300000000000001,7.0
BIOEFFECT,2,152.5,4.8,3.0
CAUDALIE,9,64.55555555555556,4.222222222222222,3.3333333333333335
CLARINS,3,76.33333333333333,4.133333333333333,3.6666666666666665
CLINIQUE,4,46.5,3.825,5.75
DIOR,9,105.11111111111111,4.688888888888889,0.0
DR. BRANDT SKINCARE,6,75.33333333333333,3.9166666666666665,6.166666666666667
DR. DENNIS GROSS SKINCARE,7,79.0,4.414285714285714,7.0
DR. JART+,3,44.666666666666664,4.233333333333333,7.0
DRUNK ELEPHANT,5,43.8,4.2,6.6
ESTÉE LAUDER,2,86.5,4.65,8.5
FIRST AID BEAUTY,4,39.5,4.35,8.25
GLAMGLOW,2,59.0,4.1,6.0
HERBIVORE,2,55.0,4.4,3.0
IT COSMETICS,3,41.333333333333336,3.8666666666666667,16.666666666666668
KATE SOMERVILLE,9,67.77777777777777,4.211111111111111,5.555555555555555
KIEHL'S SINCE 1851,4,51.75,4.025,4.0
KORRES,3,82.66666666666667,4.266666666666667,7.0
LANCÔME,3,99.66666666666667,4.433333333333334,2.3333333333333335
MOON JUICE,2,48.5,4.7,6.5
MURAD,7,66.71428571428571,4.357142857142857,7.857142857142857
OLEHENRIKSEN,5,65.8,4.26,6.8
ORIGINS,5,45.4,4.04,6.4
PEACE OUT,2,19.0,4.25,1.5
PERRICONE MD,7,106.57142857142857,4.328571428571428,5.285714285714286
PETER THOMAS ROTH,11,57.81818181818182,4.309090909090909,4.545454545454546
REN CLEAN SKINCARE,4,50.25,4.225,1.25
SHISEIDO,3,98.0,4.033333333333333,3.6666666666666665
SUNDAY RILEY,3,99.33333333333333,4.166666666666667,6.333333333333333
TATA HARPER,2,99.0,3.95,6.5
