Label,ingredients,count,share
Cleanser,Water,200,0.028885037550548817
Cleanser,Glycerin,161,0.023252455228191797
Cleanser,Butylene Glycol,131,0.018919699595609473
Cleanser,Phenoxyethanol,127,0.018341998844598497
Cleanser,Citric Acid,70,0.010109763142692086
Cleanser,Caprylyl Glycol,65,0.009387637203928365
Cleanser,Disodium Edta,56,0.008087810514153668
Cleanser,Fragrance,55,0.007943385326400924
Cleanser,Linalool,50,0.007221259387637204
Cleanser,Tocopheryl Acetate,50,0.007221259387637204
Cleanser,Limonene,49,0.00707683419988446
Cleanser,Sodium Hyaluronate,49,0.00707683419988446
Cleanser,Sodium Chloride,48,0.006932409012131715
Cleanser,Ethylhexylglycerin,47,0.006787983824378971
Cleanser,Sodium Hydroxide,47,0.006787983824378971
Cleanser,Sodium Benzoate,45,0.006499133448873483
Cleanser,Xanthan Gum,44,0.006354708261120739
Cleanser,Potassium Sorbate,43,0.006210283073367995
Cleanser,Cocamidopropyl Betaine,40,0.005777007510109763
Cleanser,Tocopherol,40,0.005777007510109763
Cleanser,Disodium EDTA,38,0.005488157134604275
Cleanser,Polysorbate 20,37,0.005343731946851531
Cleanser,Glyceryl Stearate,34,0.004910456383593298
Cleanser,Chlorphenesin,32,0.00462160600808781
Cleanser,Salicylic Acid,31,0.004477180820335066
Cleanser,Stearic Acid,31,0.004477180820335066
Cleanser,Caprylic/Capric Triglyceride,30,0.004332755632582322
Cleanser,Allantoin,29,0.004188330444829578
Cleanser,Lactic Acid,29,0.004188330444829578
Cleanser,Camellia Sinensis Leaf Extract,27,0.00389948006932409
Cleanser,Panthenol,27,0.00389948006932409
Cleanser,Propanediol,27,0.00389948006932409
Cleanser,Propylene Glycol,27,0.00389948006932409
Cleanser,Sodium Methyl Cocoyl Taurate,27,0.00389948006932409
Cleanser,Potassium Hydroxide,26,0.003755054881571346
Cleanser,Dipropylene Glycol,25,0.003610629693818602
Cleanser,Carbomer,24,0.0034662045060658577
Cleanser,Hexylene Glycol,24,0.0034662045060658577
Cleanser,Pentylene Glycol,24,0.0034662045060658577
Cleanser,Trehalose,24,0.0034662045060658577
Cleanser,Glycolic Acid,23,0.0033217793183131137
Cleanser,Silica,23,0.0033217793183131137
Cleanser,Alcohol Denat.,22,0.0031773541305603697
Cleanser,1,21,0.0030329289428076256
Cleanser,Citronellol,21,0.0030329289428076256
Cleanser,Sodium Citrate,21,0.0030329289428076256
Cleanser,Sucrose,21,0.0030329289428076256
Cleanser,2-Hexanediol,20,0.0028885037550548816
Cleanser,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,20,0.0028885037550548816
Cleanser,Aloe Barbadensis Leaf Juice,20,0.0028885037550548816
